Sun Apr 14 07:46:41 2024 Epoch 54, rank:25, lr: 0.0041533, train loss: 0.65732, acc: 76.58400
Sun Apr 14 07:46:50 2024 Epoch 55, rank:25, lr: 0.0041236, train loss: 0.65177, acc: 76.87800
Sun Apr 14 07:46:59 2024 Epoch 56, rank:25, lr: 0.0040936, train loss: 0.63687, acc: 77.52400
Sun Apr 14 07:47:09 2024 Epoch 57, rank:25, lr: 0.0040631, train loss: 0.63563, acc: 77.50600
Sun Apr 14 07:47:18 2024 Epoch 58, rank:25, lr: 0.0040323, train loss: 0.63131, acc: 77.67200
Sun Apr 14 07:47:27 2024 Epoch 59, rank:24, lr: 0.0040011, train loss: 0.63246, acc: 77.52400
Sun Apr 14 07:47:37 2024 Epoch 60, rank:24, lr: 0.0039695, train loss: 0.62630, acc: 77.76200
Sun Apr 14 07:47:46 2024 Epoch 61, rank:24, lr: 0.0039375, train loss: 0.60846, acc: 78.28000
Sun Apr 14 07:47:56 2024 Epoch 62, rank:24, lr: 0.0039052, train loss: 0.60816, acc: 78.44200
Sun Apr 14 07:48:05 2024 Epoch 63, rank:24, lr: 0.0038726, train loss: 0.60952, acc: 78.28800
Sun Apr 14 07:48:14 2024 Epoch 64, rank:24, lr: 0.0038396, train loss: 0.60024, acc: 78.63800
Sun Apr 14 07:48:24 2024 Epoch 65, rank:24, lr: 0.0038062, train loss: 0.59499, acc: 78.62200
Sun Apr 14 07:48:33 2024 Epoch 66, rank:24, lr: 0.0037726, train loss: 0.59649, acc: 78.75400
Sun Apr 14 07:48:42 2024 Epoch 67, rank:24, lr: 0.0037386, train loss: 0.58133, acc: 79.35000
Sun Apr 14 07:48:52 2024 Epoch 68, rank:24, lr: 0.0037044, train loss: 0.58265, acc: 79.13600
Sun Apr 14 07:49:01 2024 Epoch 69, rank:23, lr: 0.0036698, train loss: 0.57883, acc: 79.58400
Sun Apr 14 07:49:10 2024 Epoch 70, rank:23, lr: 0.0036350, train loss: 0.56914, acc: 79.50400
Sun Apr 14 07:49:19 2024 Epoch 71, rank:23, lr: 0.0035998, train loss: 0.56412, acc: 79.99800
Sun Apr 14 07:49:29 2024 Epoch 72, rank:23, lr: 0.0035644, train loss: 0.56029, acc: 80.06200
Sun Apr 14 07:49:38 2024 Epoch 73, rank:23, lr: 0.0035288, train loss: 0.56297, acc: 79.97400
Sun Apr 14 07:49:47 2024 Epoch 74, rank:23, lr: 0.0034929, train loss: 0.55873, acc: 80.08400
Sun Apr 14 07:49:56 2024 Epoch 75, rank:23, lr: 0.0034567, train loss: 0.54951, acc: 80.38000
Sun Apr 14 07:50:06 2024 Epoch 76, rank:23, lr: 0.0034203, train loss: 0.53940, acc: 80.70000
Sun Apr 14 07:50:15 2024 Epoch 77, rank:23, lr: 0.0033837, train loss: 0.53779, acc: 80.73000
Sun Apr 14 07:50:25 2024 Epoch 78, rank:23, lr: 0.0033468, train loss: 0.54069, acc: 80.76200
Sun Apr 14 07:50:34 2024 Epoch 79, rank:22, lr: 0.0033098, train loss: 0.54170, acc: 80.70000
