Epoch 4, ranks: [19, 15, 17, 10, 15, 18, 13, 14, 19, 15, 12, 11, 18, 15, 12, 5]
Epoch 9, ranks: [15, 12, 10, 12, 18, 13, 16, 16, 22, 9, 14, 13, 20, 12, 13, 7]
Epoch 14, ranks: [17, 15, 9, 13, 21, 14, 15, 13, 23, 8, 13, 10, 16, 10, 14, 7]
Epoch 19, ranks: [19, 14, 10, 13, 18, 14, 15, 10, 28, 10, 11, 8, 16, 9, 9, 7]
Epoch 24, ranks: [17, 16, 11, 12, 23, 14, 16, 10, 22, 11, 13, 8, 17, 7, 10, 6]
Epoch 29, ranks: [19, 15, 11, 14, 22, 15, 12, 9, 24, 8, 13, 9, 16, 7, 11, 5]
Epoch 34, ranks: [17, 16, 10, 14, 21, 15, 12, 9, 23, 7, 13, 9, 19, 9, 12, 5]
Epoch 39, ranks: [18, 16, 11, 12, 20, 13, 13, 9, 23, 9, 13, 13, 18, 9, 12, 5]
Epoch 44, ranks: [16, 16, 13, 15, 21, 14, 14, 10, 20, 11, 15, 13, 19, 9, 9, 4]
Epoch 49, ranks: [15, 17, 14, 14, 22, 14, 15, 10, 20, 10, 15, 12, 16, 13, 11, 6]
Epoch 54, ranks: [19, 18, 12, 12, 21, 13, 12, 12, 22, 12, 16, 11, 13, 11, 11, 7]
Epoch 59, ranks: [15, 17, 14, 15, 23, 13, 10, 11, 21, 10, 16, 10, 15, 11, 14, 8]
Epoch 64, ranks: [19, 17, 14, 17, 24, 11, 10, 12, 20, 9, 15, 10, 14, 9, 12, 6]
Epoch 69, ranks: [20, 16, 11, 17, 23, 12, 11, 13, 21, 10, 13, 8, 13, 11, 13, 4]
Epoch 74, ranks: [18, 15, 11, 15, 23, 13, 11, 12, 21, 10, 16, 7, 17, 9, 10, 5]
Epoch 79, ranks: [20, 16, 15, 14, 19, 13, 15, 14, 21, 9, 12, 7, 17, 6, 12, 9]
Epoch 84, ranks: [20, 17, 15, 14, 20, 13, 14, 14, 22, 11, 12, 7, 15, 6, 12, 6]
Epoch 89, ranks: [16, 19, 15, 13, 21, 15, 13, 11, 20, 12, 13, 8, 16, 9, 15, 6]
Epoch 94, ranks: [18, 17, 14, 16, 23, 15, 12, 13, 21, 10, 12, 10, 15, 8, 10, 6]
Epoch 99, ranks: [15, 17, 15, 12, 21, 13, 14, 12, 24, 9, 14, 9, 18, 7, 8, 7]
Epoch 104, ranks: [14, 18, 14, 14, 23, 12, 15, 11, 20, 9, 16, 11, 18, 10, 11, 6]
Epoch 109, ranks: [15, 19, 13, 15, 22, 11, 12, 14, 20, 8, 17, 12, 18, 11, 7, 6]
Epoch 114, ranks: [15, 17, 15, 16, 20, 13, 14, 10, 19, 9, 17, 10, 19, 14, 9, 7]
Epoch 119, ranks: [15, 16, 15, 18, 17, 15, 16, 14, 21, 11, 17, 11, 18, 11, 9, 7]
Epoch 124, ranks: [16, 14, 14, 17, 17, 13, 15, 14, 19, 12, 16, 11, 21, 10, 10, 6]
Epoch 129, ranks: [16, 13, 12, 19, 16, 17, 16, 15, 23, 10, 15, 12, 17, 9, 9, 9]
Epoch 134, ranks: [14, 12, 12, 15, 19, 16, 16, 14, 24, 11, 15, 12, 18, 9, 9, 10]
Epoch 139, ranks: [12, 11, 13, 17, 20, 19, 16, 16, 19, 13, 15, 14, 20, 11, 11, 8]
Epoch 144, ranks: [11, 14, 12, 19, 20, 18, 16, 14, 20, 11, 13, 14, 18, 12, 10, 8]
Epoch 149, ranks: [11, 15, 13, 18, 19, 18, 16, 16, 19, 12, 16, 14, 18, 9, 14, 6]
Epoch 154, ranks: [11, 12, 13, 16, 20, 15, 16, 16, 21, 12, 13, 12, 20, 10, 13, 5]
Epoch 159, ranks: [8, 14, 15, 16, 20, 17, 14, 17, 20, 15, 15, 12, 21, 9, 15, 5]
Epoch 164, ranks: [8, 13, 15, 18, 21, 18, 14, 17, 20, 15, 16, 12, 20, 10, 17, 4]
Epoch 169, ranks: [9, 12, 16, 17, 21, 16, 15, 16, 23, 15, 13, 14, 18, 10, 12, 6]
Epoch 174, ranks: [9, 13, 15, 15, 15, 17, 13, 14, 23, 18, 18, 11, 20, 12, 14, 7]
Epoch 179, ranks: [10, 13, 13, 17, 16, 21, 15, 14, 22, 14, 17, 14, 17, 14, 15, 8]
Epoch 184, ranks: [13, 14, 13, 18, 15, 17, 15, 16, 19, 16, 17, 16, 19, 10, 15, 8]
Epoch 189, ranks: [11, 15, 13, 16, 15, 19, 16, 14, 21, 16, 17, 17, 18, 12, 16, 7]
Epoch 194, ranks: [11, 14, 16, 18, 12, 18, 18, 18, 19, 16, 17, 16, 19, 13, 17, 8]
Epoch 199, ranks: [9, 11, 15, 16, 17, 18, 19, 16, 18, 19, 14, 21, 17, 11, 20, 9]
